2026-05-18 17:29:50 | INFO     | root                 | [INFO] Logging initialized → logs\session_export.log
2026-05-18 17:30:38 | INFO     | CubaseExporter       | [INFO] CubaseExporter: Exporting 'Untitled Session' (39 tracks) → Cubase Track Archive
2026-05-18 17:30:38 | INFO     | exporters.cubase.cubase_exporter | [INFO] CubaseExporter: Using override template from 'C:\Users\Home\Downloads\live-console-daw-mirror-v5\live-console-daw-mirror\templates\cubase_track_template.xml'
2026-05-18 17:30:38 | INFO     | CubaseExporter       | [SUCCESS] CubaseExporter: Written to 'C:\Users\Home\Desktop\mp02 jay_krishna band_foh_q338_v2025_96khz.ses    mp02 jay_krishna cubase v5.xml'
2026-05-18 17:31:18 | INFO     | CubaseExporter       | [INFO] CubaseExporter: Exporting 'Untitled Session' (39 tracks) → Cubase Track Archive
2026-05-18 17:31:18 | INFO     | exporters.cubase.cubase_exporter | [INFO] CubaseExporter: Using override template from 'C:\Users\Home\Downloads\live-console-daw-mirror-v5\live-console-daw-mirror\templates\cubase_track_template.xml'
2026-05-18 17:31:18 | INFO     | CubaseExporter       | [SUCCESS] CubaseExporter: Written to 'C:\Users\Home\Desktop\cubase 5.xml'
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: Starting parse of 'C:/Users/Home/Desktop/yamaha for test.RIVAGEPM'
2026-05-18 17:36:00 | INFO     | RIVAGEParser         | [INFO] Validated file: C:/Users/Home/Desktop/yamaha for test.RIVAGEPM (216440 bytes)
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: Valid MBDF header confirmed
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: Console model: RIVAGE PM10, max_channels=96
2026-05-18 17:36:00 | DEBUG    | parser.rivage_parser | [DEBUG] RIVAGEParser: Streams by size: [(3039372, '0x1701c'), (3039372, '0x206cc'), (3032864, '0xcecc'), (1818900, '0x1c8'), (1818900, '0x685c'), (830916, '0x159d8'), (97292, '0x167a0'), (97292, '0x16af4')]
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: Found 11 zlib streams
2026-05-18 17:36:00 | DEBUG    | parser.rivage_parser | [DEBUG] RIVAGEParser: ConsoleSetup stream found (3,039,372 bytes, marker 'b'ConsoleSetup'' at 0x74)
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: ConsoleSetup stream: 3,039,372 bytes
2026-05-18 17:36:00 | DEBUG    | parser.rivage_parser | [DEBUG] RIVAGEParser: Best anchor at 0x00133aad (score=87)
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [INFO] RIVAGEParser: Extracted 50 named channels
2026-05-18 17:36:00 | INFO     | parser.rivage_parser | [SUCCESS] RIVAGEParser: 'Yamaha For Test' loaded — 50 tracks, 6 buses, 96000 Hz
2026-05-18 17:36:00 | INFO     | gui.track_table      | [INFO] TrackTable: Loaded 50 tracks
2026-05-18 17:36:10 | INFO     | CubaseExporter       | [INFO] CubaseExporter: Exporting 'Untitled Session' (50 tracks) → Cubase Track Archive
2026-05-18 17:36:10 | INFO     | exporters.cubase.cubase_exporter | [INFO] CubaseExporter: Using override template from 'C:\Users\Home\Downloads\live-console-daw-mirror-v5\live-console-daw-mirror\templates\cubase_track_template.xml'
2026-05-18 17:36:10 | INFO     | CubaseExporter       | [SUCCESS] CubaseExporter: Written to 'C:\Users\Home\Desktop\Yamaha From cubase.xml'
